id;domain_list
256999;Thematic Games
298383;Strategy Games
226320;Family Games
162007;Family Games
162007;Strategy Games
71721;Thematic Games
167400;Customizable Games
232219;Abstract Games
232219;Family Games
214880;Strategy Games
183840;Strategy Games
143741;Party Games
281442;Strategy Games
181521;Thematic Games
72321;Strategy Games
301255;Strategy Games
15364;Strategy Games
73761;Family Games
73761;Thematic Games
296237;Strategy Games
242574;Family Games
204472;Thematic Games
249381;Strategy Games
9823;Wargames
273330;Thematic Games
3307;Strategy Games
22345;Strategy Games
311988;Strategy Games
311988;Thematic Games
241724;Family Games
483;Strategy Games
55600;Strategy Games
20100;Party Games
143515;Strategy Games
346965;Abstract Games
168435;Family Games
256382;Family Games
31563;Thematic Games
279613;Thematic Games
280480;Strategy Games
180593;Strategy Games
328866;Thematic Games
68425;Strategy Games
255692;Strategy Games
300877;Family Games
173442;Strategy Games
214887;Strategy Games
244228;Abstract Games
244228;Family Games
21882;Family Games
21882;Strategy Games
202670;Family Games
201825;Strategy Games
349067;Customizable Games
11825;Wargames
192457;Strategy Games
220517;Strategy Games
220520;Strategy Games
47185;Customizable Games
47185;Strategy Games
200147;Family Games
218333;Family Games
156943;Strategy Games
43528;Strategy Games
2163;Thematic Games
162286;Strategy Games
158435;Strategy Games
41;Family Games
169654;Family Games
2453;Abstract Games
179803;Thematic Games
586;Wargames
244608;Family Games
170416;Strategy Games
170416;Thematic Games
36235;Abstract Games
204516;Wargames
40628;Family Games
256570;Strategy Games
284777;Strategy Games
328479;Family Games
230244;Strategy Games
326494;Family Games
326494;Thematic Games
137988;Thematic Games
203417;Family Games
203417;Thematic Games
251678;Family Games
45;Family Games
45;Party Games
171273;Family Games
306881;Family Games
51;Abstract Games
131287;Strategy Games
307305;Family Games
160499;Family Games
237179;Strategy Games
198830;Strategy Games
198830;Wargames
218121;Family Games
218121;Strategy Games
26997;Strategy Games
26997;Wargames
91872;Thematic Games
110277;Strategy Games
276498;Abstract Games
252153;Family Games
252153;Strategy Games
217780;Strategy Games
181687;Family Games
337765;Strategy Games
179172;Strategy Games
179172;Thematic Games
1035;Wargames
161417;Family Games
12002;Strategy Games
194879;Strategy Games
197443;Family Games
191051;Strategy Games
156566;Strategy Games
346703;Family Games
30957;Strategy Games
218479;Strategy Games
15512;Family Games
30645;Strategy Games
79127;Thematic Games
117915;Strategy Games
117915;Thematic Games
321608;Strategy Games
348450;Strategy Games
175117;Family Games
179275;Thematic Games
238799;Strategy Games
41002;Strategy Games
38996;Wargames
163602;Thematic Games
176165;Family Games
176165;Strategy Games
1465;Family Games
262941;Strategy Games
177590;Strategy Games
177590;Wargames
145659;Strategy Games
12962;Strategy Games
228328;Strategy Games
28181;Wargames
234671;Strategy Games
103886;Customizable Games
12891;Wargames
16747;Family Games
16747;Party Games
275467;Family Games
528;Abstract Games
227460;Wargames
244331;Family Games
361545;Strategy Games
299047;Family Games
8125;Strategy Games
24800;Wargames
122298;Family Games
254386;Family Games
254386;Strategy Games
18098;Wargames
148729;Strategy Games
148729;Thematic Games
214029;Strategy Games
266164;Strategy Games
277700;Strategy Games
158889;Customizable Games
234477;Strategy Games
234477;Wargames
137269;Strategy Games
256788;Party Games
119788;Strategy Games
65244;Family Games
285984;Strategy Games
12902;Family Games
12902;Strategy Games
253499;Strategy Games
166384;Party Games
216459;Thematic Games
91514;Children's Games
91514;Family Games
56692;Family Games
148575;Customizable Games
94;Strategy Games
113997;Party Games
113997;Thematic Games
244992;Family Games
244992;Party Games
53953;Strategy Games
53953;Thematic Games
129948;Strategy Games
155362;Party Games
26990;Strategy Games
264052;Strategy Games
37380;Family Games
37380;Strategy Games
35570;Strategy Games
195137;Thematic Games
219215;Party Games
272739;Strategy Games
1041;Strategy Games
299684;Strategy Games
131260;Family Games
139898;Strategy Games
318560;Family Games
318560;Strategy Games
29368;Thematic Games
154458;Strategy Games
177678;Strategy Games
329465;Strategy Games
173;Thematic Games
2093;Abstract Games
98229;Party Games
239472;Strategy Games
239472;Thematic Games
291845;Strategy Games
198740;Party Games
245643;Family Games
1345;Strategy Games
223953;Family Games
223953;Thematic Games
267319;Family Games
41066;Strategy Games
41066;Wargames
329551;Strategy Games
248065;Strategy Games
248065;Thematic Games
224597;Customizable Games
26566;Strategy Games
9440;Strategy Games
317457;Strategy Games
317457;Thematic Games
196526;Strategy Games
315610;Thematic Games
238992;Thematic Games
904;Family Games
904;Strategy Games
82421;Customizable Games
82421;Strategy Games
148319;Strategy Games
148319;Thematic Games
160851;Family Games
239464;Family Games
270314;Family Games
272738;Thematic Games
2181;Abstract Games
2181;Strategy Games
108906;Thematic Games
294612;Thematic Games
132028;Wargames
202408;Strategy Games
202408;Thematic Games
231218;Strategy Games
195560;Strategy Games
195560;Thematic Games
156689;Thematic Games
335764;Strategy Games
13642;Strategy Games
235488;Family Games
316546;Family Games
172047;Thematic Games
59946;Thematic Games
281655;Strategy Games
281655;Thematic Games
27976;Customizable Games
27976;Thematic Games
295895;Strategy Games
295895;Thematic Games
284818;Strategy Games
8051;Strategy Games
98351;Strategy Games
197405;Abstract Games
201921;Strategy Games
151004;Strategy Games
25669;Abstract Games
25669;Family Games
27588;Family Games
331787;Strategy Games
331787;Thematic Games
491;Family Games
491;Strategy Games
66356;Thematic Games
199966;Strategy Games
38054;Family Games
38054;Strategy Games
210296;Thematic Games
207830;Family Games
240;Wargames
193214;Family Games
147151;Party Games
112;Strategy Games
245487;Abstract Games
203427;Family Games
108784;Strategy Games
191977;Strategy Games
52461;Strategy Games
52461;Thematic Games
82420;Customizable Games
82420;Strategy Games
212402;Family Games
242804;Strategy Games
65901;Strategy Games
249277;Strategy Games
233262;Strategy Games
125678;Thematic Games
298065;Family Games
298065;Strategy Games
106217;Strategy Games
154086;Strategy Games
169124;Family Games
169124;Thematic Games
228504;Family Games
334065;Family Games
271601;Party Games
291508;Strategy Games
19600;Strategy Games
195314;Family Games
66505;Strategy Games
295564;Strategy Games
554;Strategy Games
227515;Strategy Games
66056;Strategy Games
15817;Family Games
370913;Strategy Games
171669;Strategy Games
224;Strategy Games
224;Thematic Games
224;Wargames
281466;Strategy Games
95064;Strategy Games
180680;Family Games
180680;Strategy Games
182340;Strategy Games
157403;Family Games
353288;Family Games
1382;Family Games
204027;Family Games
161882;Strategy Games
244654;Strategy Games
200077;Strategy Games
218509;Strategy Games
242684;Strategy Games
270971;Family Games
270971;Strategy Games
230080;Family Games
279254;Strategy Games
290484;Thematic Games
72287;Strategy Games
178336;Family Games
178336;Strategy Games
254708;Thematic Games
174570;Thematic Games
164949;Strategy Games
164949;Wargames
276894;Family Games
8203;Abstract Games
8203;Family Games
347703;Family Games
347703;Strategy Games
939;Thematic Games
351040;Party Games
141517;Strategy Games
200954;Strategy Games
207243;Strategy Games
207243;Thematic Games
11971;Party Games
207691;Strategy Games
104710;Thematic Games
150999;Strategy Games
75449;Family Games
75449;Strategy Games
168917;Strategy Games
253284;Family Games
241266;Family Games
172931;Children's Games
177524;Children's Games
177524;Family Games
40793;Family Games
318553;Family Games
191300;Family Games
229892;Strategy Games
156776;Customizable Games
131646;Strategy Games
131646;Thematic Games
163154;Wargames
157809;Family Games
157809;Strategy Games
69779;Strategy Games
69779;Wargames
185589;Strategy Games
158275;Customizable Games
161866;Thematic Games
217449;Abstract Games
217449;Family Games
127518;Wargames
300217;Strategy Games
217861;Strategy Games
359438;Strategy Games
300905;Party Games
270239;Strategy Games
270239;Thematic Games
823;Thematic Games
72225;Strategy Games
165838;Thematic Games
208024;Thematic Games
338760;Strategy Games
299960;Strategy Games
191231;Family Games
191231;Strategy Games
35497;Family Games
194517;Strategy Games
256589;Thematic Games
25568;Strategy Games
23540;Strategy Games
130176;Family Games
104363;Strategy Games
104363;Thematic Games
153065;Family Games
681;Abstract Games
171233;Strategy Games
314503;Family Games
6830;Abstract Games
136991;Family Games
160018;Family Games
160018;Strategy Games
176371;Strategy Games
198454;Party Games
146312;Children's Games
